87,88,89,90,91,92,94
R,R,R,R,R,R,R
(186, 229),(187, 208),(190, 201),(184, 171),(188, 171),(194, 138),(202, 107)
(200, 221),(196, 198),(179, 207),(180, 179),(178, 172),(186, 147),(190, 112)
(203, 210),(199, 188),(168, 209),(174, 178),(169, 170),(177, 148),(181, 109)
(197, 201),(197, 181),(160, 207),(168, 174),(163, 165),(168, 143),(175, 103)
(191, 198),(194, 178),(151, 205),(160, 170),(158, 161),(161, 138),(170, 100)
(196, 200),(191, 172),(170, 176),(180, 147),(173, 139),(178, 118),(183, 80)
(195, 180),(191, 155),(162, 162),(177, 128),(166, 123),(172, 102),(178, 62)
(194, 168),(191, 146),(157, 153),(175, 117),(162, 112),(168, 91),(177, 53)
(193, 159),(192, 138),(153, 145),(174, 106),(159, 102),(165, 81),(177, 46)
(186, 201),(182, 172),(179, 169),(182, 139),(182, 132),(184, 110),(190, 74)
(181, 180),(177, 154),(175, 154),(176, 117),(178, 113),(178, 89),(185, 52)
(176, 168),(174, 143),(172, 144),(172, 105),(174, 101),(175, 76),(186, 41)
(173, 158),(171, 135),(171, 137),(169, 93),(172, 90),(172, 62),(186, 31)
(176, 205),(174, 176),(188, 166),(183, 136),(190, 130),(190, 105),(196, 72)
(170, 187),(169, 159),(186, 154),(178, 116),(186, 113),(185, 87),(194, 52)
(166, 174),(166, 148),(185, 145),(174, 104),(183, 102),(183, 74),(193, 41)
(162, 165),(163, 138),(184, 139),(172, 93),(180, 92),(181, 61),(193, 30)
(168, 210),(168, 183),(195, 167),(184, 135),(196, 131),(195, 104),(204, 73)
(161, 198),(161, 172),(195, 156),(180, 120),(194, 119),(191, 90),(203, 58)
(156, 191),(157, 164),(195, 150),(176, 111),(191, 111),(189, 80),(203, 49)
(151, 184),(154, 156),(194, 145),(173, 103),(187, 104),(188, 70),(203, 40)
