video_id frame_id gt
-FSPre_AG4k 0 S
-FSPre_AG4k 6 S
-FSPre_AG4k 12 S
-FSPre_AG4k 18 S
-FSPre_AG4k 24 S
-FSPre_AG4k 30 S
-FSPre_AG4k 36 S
-FSPre_AG4k 42 S
-FSPre_AG4k 48 S
-FSPre_AG4k 54 S
-FSPre_AG4k 60 S
-FSPre_AG4k 66 S
-FSPre_AG4k 72 S
-FSPre_AG4k 78 S
-FSPre_AG4k 84 S
-FSPre_AG4k 90 S
-FSPre_AG4k 96 S
-FSPre_AG4k 102 S
-FSPre_AG4k 108 S
-FSPre_AG4k 114 S
-FSPre_AG4k 120 S
-FSPre_AG4k 126 S
-FSPre_AG4k 132 S
-FSPre_AG4k 138 S
-FSPre_AG4k 144 S
-FSPre_AG4k 150 S
-FSPre_AG4k 156 S
-FSPre_AG4k 162 S
-FSPre_AG4k 168 S
-FSPre_AG4k 174 S
-FSPre_AG4k 180 S
-FSPre_AG4k 186 S
-FSPre_AG4k 192 S
-FSPre_AG4k 198 S
-FSPre_AG4k 204 S
-FSPre_AG4k 210 S
-FSPre_AG4k 216 S
-FSPre_AG4k 222 S
-FSPre_AG4k 228 S
-FSPre_AG4k 234 S
-FSPre_AG4k 240 S
-FSPre_AG4k 246 S
-FSPre_AG4k 252 S
-FSPre_AG4k 258 S
-FSPre_AG4k 264 S
-FSPre_AG4k 270 S
-FSPre_AG4k 276 S
-FSPre_AG4k 282 S
-FSPre_AG4k 288 S
-FSPre_AG4k 294 S
-FSPre_AG4k 300 S
-FSPre_AG4k 306 S
-FSPre_AG4k 312 S
-FSPre_AG4k 318 S
-FSPre_AG4k 324 S
-FSPre_AG4k 330 S
-FSPre_AG4k 336 S
-FSPre_AG4k 342 S
-FSPre_AG4k 348 S
-FSPre_AG4k 354 S
-FSPre_AG4k 360 S
-FSPre_AG4k 366 S
-FSPre_AG4k 372 S
-FSPre_AG4k 378 S
-FSPre_AG4k 384 S
-FSPre_AG4k 390 S
-FSPre_AG4k 396 S
-FSPre_AG4k 402 S
-FSPre_AG4k 408 S
-FSPre_AG4k 414 S
-FSPre_AG4k 420 S
-FSPre_AG4k 426 S
-FSPre_AG4k 432 S
-FSPre_AG4k 438 S
-FSPre_AG4k 444 S
-FSPre_AG4k 450 S
-FSPre_AG4k 456 S
-FSPre_AG4k 462 S
-FSPre_AG4k 468 S
